Hospital Name,Hospital Type ,Address,City,State,Postal Code,Email,Contact ,Rating,Doctor's Name,Facility Type ,Insurance ,Emergency Service,Opening Hours,Latitude,Longtitude,Web site URL
Premier Hospital,Hospital,"12-2-718, Khader Bagh Rd, Padmanabha Nagar, Toli Chowki",Hyderabad,Telanagana,500008,helpdesk@premierhospital.in,918374718100,4.3,Dr. Mahesh Marda,General Physician,Yes,Yes,24 hours,17.39168,78.4269971615705,https://premierhospital.in/
Mythri Hospital,Hospital,"Opp Pillar No. 81, PVNR Expressway, Inner Ring Rd, Maruthi Nagar, Mehdipatnam",Hyderabad,Telanagana,500008,info@mythrihospital.net,914023516326,4.7,Dr. Mohd Anfas,General Physician,Yes,Yes,24 hours,17.3843302056205,78.4290783535128,https://mythrihospital.net/doctors
Olive Hospital,Hospital,"Building No. 12-2-718/3,4,5, Nanalnagar ‘X' Road, Mehdipatnam",Hyderabad,Telanagana,500028,info@olivehospitals.com,919666905092,4.4,Dr. MD ABDUL MAJID KHAN,General Physician,No,Yes,24 hours,17.3937243874797,78.4270830259922,https://www.olivehospitals.com/specialities/view/86
Sameer Hospital,Hospital,"12, Asif Nagar Rd, Sri Ram Nagar Colony, MIGH Colony, Humayun Nagar",Hyderabad,Telanagana,500028,info@sameerhospitals.in,040 2353-2829,3.4,Dr. Mansoor,General Physician,No,Yes,24 hours,17.3934084566034,78.4445781867107,http://sameerhospitals.in/
Salamah Hospital,Hospital,"13-6-436/5/A/1, near Masjid-e-Quba, Rock HIlls Colony, Mehdipatnam",Hyderabad,Telanagana,500008,info@salamahhospital.in,9179813 75626,3.2,Dr. Asma Ghouse,General Physician,No,No,24 hours,17.3923126650073,78.4265550882214,https://salamahhospital.in/our-team/
Himagiri Hospitals,Hospital,"plot no 4, 5,23 & 24, Old Mumbai Hwy, Indira Nagar, Gachibowli",Hyderabad,Telanagana,500032,info@himagirihospitals.com,918008503564,4.2,Dr. Sri Sai Nivya,General Physician,Yes,Yes,24 hours,17.4425359492453,78.3586577583978,https://www.himagirihospitals.com/
AIG Hospitals,Hospital,"1-66/AIG/2 to 5, Mindspace Rd, P Janardhan Reddy Nagar, Gachibowli",Hyderabad,Telanagana,500032,info@aighospitals.com,9140 4244 4222,4.4,Dr. Apoorva Munigela,General Physician,Yes,Yes,24 hours,17.4433138827142,78.3661443897119,https://aighospitals.com/
Medics Healthcare,Clinic,"Survey No. 55/E, Nanakramguda circle Nanakram Guda, Gachibowli",Hyderabad,Telanagana,500032,hello@drrahulchirag.com,918977037262,3.1,Dr. Rahul Chirag,General Physician,No,No,5PM to 8PM,17.4200457234961,78.3541901035058,https://www.drrahulchirag.com/
Goutam MultiSpeciality Hospital,Hospital,"116, Lumbini Enclave, Hitech City Main Rd, near IKEA Restaurant, Gachibowli",Hyderabad,Telanagana,500081,info@goutamneurocare.com,919885141699,4.9,Dr. Neeraja,General Physician,Yes,Yes,24 hours,17.4336614320452,78.3743759164742,https://goutamneurocare.com/
Arete Hospitals,Hospital,"opposite biodiversity park, Madhura Nagar Colony, Gachibowli",Hyderabad,Telanagana,500081,info@aretehospitals.com,91406969 6969,4.8,Dr. Ananda Sagari,General Physician,No,Yes,24 hours,17.4280238481205,78.3750007597737,https://www.aretehospitals.com/
Omega hospitals,Hospital,"CHR Lane, Rd Number 1, Seven Hills Colony, Gachibowli",Hyderabad,Telanagana,500032, info@omegahospitals.com,919848011421,3.8,Dr. Samragni Vasireddy,General Physician,Yes,Yes,24 hours,17.4366883279581,78.3674246164768,https://www.omegahospitals.com/
Continental Hospitals,Hospital,"Plot No 3, Road No. 2, Financial District, Gachibowli, Nanakaramguda",Hyderabad,Telanagana,500032,queries@continentalhospitals.com,917799360360,4.6,Dr Shilpa Aralikar,General Physician,Yes,Yes,24 hours,17.4177106306944,78.3395222756553,https://continentalhospitals.com/
CARE Hospitals,Hospital,"Old Mumbai Hwy, near Cyberabad Police Commissionerate, Jayabheri Pine Valley, HITEC City",Hyderabad,Telanagana,500032,,914068106585,4.5,Dr Rahul Agrawal,General Physician,Yes,Yes,24 hours,17.4306825454545,78.3722685175614,https://www.carehospitals.com/
Apollo Clinic,Clinic,"Kothaguda, X Roads, beside Swagth De-Royal Restaurants",Hyderabad,Telanagana,500038,hitechcity@apolloclinic.com,18605007788,4.6,Dr Vivek Belde,General Physician,Yes,No,7AM to 9PM,17.4600583228213,78.3658006891171,https://www.apolloclinic.com/
SatyaSree Clinics & Diagnostics,Clinic,"Botanical Garden Road, (Beside Chirec School) Kondapur",Hyderabad,Telanagana,500084,satyasreehospital@gmail.com,919515344388,4.2,Dr Sridhar Y,General Physician,No,Yes,7AM to 10PM,17.462609181613,78.3508335618864,https://satyasreeclinics.com/
Nikhil Hospitals,Hospital,"Gaddi Annaram Cross Road, Dilsukh Nagar Main Rd, Dilsukhnagar",Hyderabad,Telanagana,500036,contact@nikhilhospitals.com,040 7124 1111,4.3,Dr Likitha Dasari,General Physician,Yes,Yes,24 hours,17.3683368024954,78.5203461864239,https://nikhilhospitals.com/
Sreshta Sri Kamala Hospitals,Hospital,"11-11-739/1&2, NH 65, Dilsukhnagar",Hyderabad,Telanagana,500060,sreshtasrihospitals@gmail.com,918908901188,3.4,Dr V Vamsi,General Physician,No,Yes,24 hours,17.3686053968808,78.5220210330928,https://sreshtasrikamalahospitals.in/index.php
Dr MV Rao,Hospital,"2rd floor, Yasodha Hospital, Room No: 238, Raj Bhavan Rd, Somajiguda",Hyderabad,Telanagana,500082,drdrmvraomallela@gmail.com,919908600004,4.9,Dr M V Rao,General Physician,No,No,10AM to 4PM,17.4246310147673,78.4569204307395,https://drmvrao.com/
Metro City Hospital ,Hospital,"2-2-18, Nagole - Bandlaguda Rd,road no:8, Road No. 8, Arunodaya Nagar, Nagole",Hyderabad,Telanagana,500068,metrocityhospital.org@gmail.com,918892808182,4.5,Dr. Vasantha,General Physician,No,No,24 hours,17.3740670518977,78.5629208588114,https://www.metrocityhospital.org/index.html
Vasavi Hospital,Hospital,"branch Ashta laxmi, H.No: 11-13-1161, Ram Pratap nivas Beside Andhra Bank(green hills colony, Temple Rd N, Kothapet",Hyderabad,Telanagana,500035,info@vasavihospital.net,918686969640,4.4,Dr. Vasantha.J,General Physician,No,No,24 hours,17.3636059454187,78.5451002184494,https://www.vasavihospital.org/index.html
